lga_name,mean_2015,mean_2023,mean_2025,change_2015_2023,change_2023_2025,change_2015_2025_total
Akinyele,27.946,34.556,34.562,6.61,0.006,6.616
Egbeda,29.428,37.209,37.235,7.781,0.026,7.807
Ibadan North,33.495,39.304,40.15,5.809,0.846,6.655
Ibadan North-East,34.693,40.597,41.602,5.904,1.005,6.909
Ibadan North-West,32.97,38.663,39.364,5.693,0.701,6.394
Ibadan South-East,33.87,39.989,40.6,6.119,0.611,6.73
Ibadan South-West,33.369,39.088,40.182,5.719,1.094,6.813
Ido,29.44,35.925,35.29,6.485,-0.635,5.85
Lagelu,28.025,34.451,34.928,6.426,0.477,6.903
Oluyole,26.94,33.245,33.311,6.305,0.066,6.371
Ona Ara,27.313,33.309,33.45,5.996,0.141,6.137
