lga_name,mean_2015,mean_2023,mean_2025,change_2015_2023,change_2023_2025,change_2015_2025_total
Akinyele,-0.136,-0.054,-0.077,0.082,-0.023,0.059
Egbeda,-0.084,-0.002,-0.013,0.082,-0.011,0.071
Ibadan North,0.02,0.052,0.059,0.032,0.007,0.039
Ibadan North-East,0.054,0.092,0.09,0.038,-0.002,0.036
Ibadan North-West,-0.002,0.03,0.027,0.032,-0.003,0.029
Ibadan South-East,0.043,0.079,0.074,0.036,-0.005,0.031
Ibadan South-West,0.022,0.061,0.066,0.039,0.005,0.044
Ido,-0.09,-0.029,-0.064,0.061,-0.035,0.026
Lagelu,-0.13,-0.08,-0.084,0.05,-0.004,0.046
Oluyole,-0.172,-0.12,-0.138,0.052,-0.018,0.034
Ona Ara,-0.181,-0.134,-0.137,0.047,-0.003,0.044
