lga_name,mean_2015,mean_2023,mean_2025,change_2015_2023,change_2023_2025,change_2015_2025_total
Akinyele,0.417,0.41,0.488,-0.007,0.078,0.071
Egbeda,0.35,0.313,0.362,-0.037,0.049,0.012
Ibadan North,0.181,0.207,0.232,0.026,0.025,0.051
Ibadan North-East,0.128,0.145,0.175,0.017,0.03,0.047
Ibadan North-West,0.207,0.25,0.277,0.043,0.027,0.07
Ibadan South-East,0.163,0.19,0.205,0.027,0.015,0.042
Ibadan South-West,0.187,0.217,0.224,0.03,0.007,0.037
Ido,0.389,0.422,0.492,0.033,0.07,0.103
Lagelu,0.391,0.411,0.464,0.02,0.053,0.073
Oluyole,0.443,0.499,0.542,0.056,0.043,0.099
Ona Ara,0.443,0.466,0.517,0.023,0.051,0.074
