lga_name,mean_2015,mean_2023,mean_2025,change_2015_2023,change_2023_2025,change_2015_2025_total
Akinyele,0.952,1.646,1.466,0.694,-0.18,0.514
Egbeda,2.434,4.299,4.139,1.865,-0.16,1.705
Ibadan North,6.501,6.394,7.055,-0.107,0.661,0.554
Ibadan North-East,7.699,7.687,8.506,-0.012,0.819,0.807
Ibadan North-West,5.976,5.753,6.269,-0.223,0.516,0.293
Ibadan South-East,6.876,7.079,7.505,0.203,0.426,0.629
Ibadan South-West,6.375,6.178,7.086,-0.197,0.908,0.711
Ido,2.446,3.015,2.195,0.569,-0.82,-0.251
Lagelu,1.031,1.542,1.832,0.511,0.29,0.801
Oluyole,-0.054,0.335,0.215,0.389,-0.12,0.269
Ona Ara,0.32,0.399,0.354,0.079,-0.045,0.034
